,Month,DayofMonth,DayOfWeek,Reporting_Airline,Flight_Number_Reporting_Airline,DepTime,DepDelay,ArrTime,ArrDelay
269,2,17,1,B6,223,1054.0,-6.0,1443.0,23.0
270,2,18,2,B6,223,1056.0,-4.0,1407.0,-13.0
271,2,19,3,B6,223,1053.0,-7.0,1407.0,-13.0
272,2,20,4,B6,223,1055.0,-5.0,1354.0,-26.0
273,2,21,5,B6,223,1108.0,8.0,1402.0,-18.0
274,2,22,6,B6,223,1059.0,-1.0,1340.0,-40.0
275,2,23,7,B6,223,1053.0,-7.0,1334.0,-46.0
276,2,24,1,B6,223,1051.0,-9.0,1357.0,-33.0
277,2,1,6,B6,323,1023.0,-7.0,1319.0,-28.0
278,2,2,7,B6,323,927.0,-3.0,1243.0,-7.0
279,2,3,1,B6,323,922.0,-8.0,1233.0,-17.0
280,2,4,2,B6,323,914.0,-15.0,1232.0,-17.0
281,2,5,3,B6,323,922.0,-8.0,1254.0,4.0
282,2,6,4,B6,323,921.0,-9.0,1356.0,66.0
283,2,7,5,B6,323,923.0,-7.0,1333.0,43.0
284,2,8,6,B6,323,1024.0,-6.0,1353.0,6.0
286,2,10,1,B6,323,921.0,-9.0,1304.0,14.0
287,2,11,2,B6,323,921.0,-8.0,1306.0,17.0
288,2,12,3,B6,323,920.0,-9.0,1300.0,11.0
289,2,13,4,B6,323,1324.0,-1.0,1701.0,4.0
290,2,14,5,B6,323,1318.0,-7.0,1639.0,-18.0
291,2,15,6,B6,323,1322.0,-3.0,1642.0,-15.0
292,2,16,7,B6,323,1324.0,-1.0,1647.0,-10.0
294,2,18,2,B6,323,1320.0,-5.0,1645.0,-12.0
295,2,19,3,B6,323,1319.0,-6.0,1630.0,-27.0
296,2,20,4,B6,323,1322.0,-3.0,1619.0,-38.0
297,2,21,5,B6,323,1318.0,-7.0,1603.0,-54.0
298,2,22,6,B6,323,1531.0,126.0,1800.0,63.0
299,2,23,7,B6,323,1314.0,-11.0,1605.0,-52.0
300,2,24,1,B6,323,1258.0,-2.0,1601.0,-19.0
301,2,25,2,B6,323,1054.0,-6.0,1403.0,-17.0
302,2,26,3,B6,323,1052.0,-8.0,1351.0,-29.0
303,2,27,4,B6,323,1054.0,-6.0,1334.0,-46.0
304,2,28,5,B6,323,1055.0,-5.0,1400.0,-20.0
305,2,1,6,B6,523,652.0,-8.0,1008.0,-13.0
306,2,2,7,B6,523,648.0,-12.0,1019.0,-2.0
307,2,3,1,B6,523,650.0,-10.0,1016.0,-5.0
308,2,4,2,B6,523,652.0,-8.0,1021.0,0.0
309,2,5,3,B6,523,644.0,-15.0,1018.0,-2.0
310,2,6,4,B6,523,650.0,-10.0,1115.0,54.0
311,2,7,5,B6,523,655.0,-5.0,1018.0,-3.0
312,2,8,6,B6,523,653.0,-7.0,1033.0,12.0
313,2,9,7,B6,523,654.0,-6.0,1133.0,72.0
314,2,10,1,B6,523,700.0,0.0,1054.0,33.0
315,2,11,2,B6,523,650.0,-10.0,1012.0,-9.0
316,2,12,3,B6,523,646.0,-13.0,1121.0,61.0
317,2,13,4,B6,523,650.0,-9.0,1016.0,-5.0
318,2,14,5,B6,523,549.0,-11.0,921.0,3.0
319,2,15,6,B6,523,552.0,-8.0,905.0,-13.0
320,2,16,7,B6,523,600.0,0.0,940.0,22.0
321,2,17,1,B6,523,627.0,27.0,1025.0,67.0
322,2,18,2,B6,523,558.0,-2.0,937.0,19.0
323,2,19,3,B6,523,559.0,-1.0,916.0,-2.0
324,2,20,4,B6,523,552.0,-8.0,854.0,-24.0
325,2,21,5,B6,523,601.0,1.0,848.0,-30.0
326,2,22,6,B6,523,557.0,-3.0,846.0,-32.0
327,2,23,7,B6,523,551.0,-9.0,834.0,-44.0
328,2,24,1,B6,523,554.0,-6.0,846.0,-32.0
329,2,25,2,B6,523,554.0,-6.0,851.0,-27.0
330,2,26,3,B6,523,549.0,-11.0,851.0,-27.0
331,2,27,4,B6,523,554.0,-6.0,843.0,-35.0
332,2,28,5,B6,523,554.0,-6.0,841.0,-37.0
333,2,1,6,B6,623,812.0,-8.0,1158.0,16.0
334,2,2,7,B6,623,816.0,-4.0,1152.0,10.0
335,2,3,1,B6,623,812.0,-8.0,1122.0,-20.0
336,2,4,2,B6,623,812.0,-8.0,1140.0,-2.0
337,2,5,3,B6,623,812.0,-8.0,1159.0,17.0
338,2,6,4,B6,623,815.0,-5.0,1303.0,81.0
339,2,7,5,B6,623,810.0,-10.0,1203.0,21.0
340,2,8,6,B6,623,814.0,-6.0,1146.0,4.0
341,2,9,7,B6,623,816.0,-4.0,1221.0,39.0
342,2,10,1,B6,623,814.0,-6.0,1148.0,6.0
343,2,11,2,B6,623,810.0,-10.0,1132.0,-10.0
344,2,12,3,B6,623,808.0,-12.0,1240.0,58.0
345,2,13,4,B6,623,1527.0,-3.0,1903.0,1.0
346,2,14,5,B6,623,1533.0,3.0,1923.0,21.0
347,2,16,7,B6,623,1529.0,-1.0,1916.0,14.0
348,2,17,1,B6,623,1527.0,-3.0,1915.0,13.0
349,2,18,2,B6,623,1533.0,3.0,1858.0,-4.0
350,2,19,3,B6,623,1523.0,-7.0,1841.0,-21.0
351,2,20,4,B6,623,1531.0,1.0,1843.0,-19.0
352,2,21,5,B6,623,1532.0,2.0,1811.0,-51.0
353,2,23,7,B6,623,1647.0,77.0,1929.0,27.0
354,2,24,1,B6,623,1518.0,-12.0,1813.0,-49.0
355,2,25,2,B6,623,956.0,-4.0,1310.0,-10.0
356,2,26,3,B6,623,947.0,-12.0,1254.0,-26.0
357,2,27,4,B6,623,1003.0,3.0,1232.0,-48.0
358,2,28,5,B6,623,954.0,-5.0,1308.0,-12.0
