year,player,surface,matches_tot,matches_w,perc_2nd_overall,perc_2nd_w,margin_2nd_w,matches_2nd_w
1991,Frederic Fontang,Hard,3,1,10.333333333333334,17.0,-5.0,0
1991,Sebastian Soresini,Carpet,1,0,,,,0
1991,Mensah Gbeboume,Carpet,1,0,,,,0
1991,Jason Stoltenberg,Carpet,6,3,17.666666666666668,19.333333333333332,1.0,1
1991,Jason Stoltenberg,Clay,3,1,,,,0
1991,Jason Stoltenberg,Grass,4,2,17.0,11.5,0.0,0
1991,Jason Stoltenberg,Hard,27,14,16.25925925925926,17.0,4.142857142857142,4
1991,Joao Cunha Silva,Clay,11,2,11.318181818181818,15.0,-8.0,0
1991,Joao Cunha Silva,Hard,2,0,,,,0
1991,Goran Prpic,Carpet,9,3,12.955555555555556,17.666666666666668,-4.0,0
1991,Goran Prpic,Clay,46,28,10.41304347826087,10.25,0.20833333333333393,4
1991,Goran Prpic,Grass,4,1,17.25,29.0,-3.0,0
1991,Goran Prpic,Hard,11,7,13.454545454545455,14.142857142857142,-2.4285714285714306,0
1991,Kojo Atiso,Clay,1,0,,,,0
1991,Eno Polo,Clay,5,2,,,,0
1991,Eno Polo,Hard,2,1,,,,0
1991,Lars Koslowski,Carpet,1,0,,,,0
1991,Lars Koslowski,Clay,5,4,10.4,9.5,-2.5,0
1991,Shehab Shehab,Hard,2,0,,,,0
1991,Mario Visconti,Clay,1,0,,,,0
1991,Jason Cask,Hard,2,1,12.0,20.0,1.0,0
1991,Sandon Stolle,Carpet,4,3,19.5,21.333333333333332,5.666666666666666,3
1991,Sandon Stolle,Grass,2,1,31.0,41.0,-1.0,0
1991,Sandon Stolle,Hard,6,1,21.5,18.0,-2.0,0
1991,Richard Schmidt,Hard,1,0,,,,0
1991,Jakob Hlasek,Carpet,32,21,15.689950980392158,15.352941176470589,0.17647058823529527,2
1991,Jakob Hlasek,Clay,11,7,18.181818181818183,24.0,-2.0,0
1991,Jakob Hlasek,Grass,6,4,17.666666666666668,17.0,-2.75,0
1991,Jakob Hlasek,Hard,28,18,16.571428571428573,17.22222222222222,-0.5,4
1991,Boris Becker,Carpet,21,17,17.318681318681318,16.923076923076923,1.384615384615385,6
1991,Boris Becker,Clay,13,10,17.076923076923077,15.0,-0.5,1
1991,Boris Becker,Grass,7,6,25.571428571428573,25.5,-1.0,0
1991,Boris Becker,Hard,22,17,17.272727272727273,17.823529411764707,-2.0588235294117645,1
1991,Jim Pugh,Clay,2,0,,,,0
1991,Jim Pugh,Grass,1,0,,,,0
1991,Jim Pugh,Hard,6,1,15.333333333333334,24.0,-6.0,0
1991,Carlos Di Laura,Hard,1,0,,,,0
1991,Mihnea Ion Nastase,Clay,1,0,,,,0
1991,Ofer Sela,Hard,1,0,,,,0
1991,Paul Wekesa,Clay,4,4,,,,0
1991,Paul Wekesa,Hard,3,2,,,,0
1991,David Wheaton,Carpet,9,6,13.88888888888889,13.0,2.5,1
1991,David Wheaton,Clay,7,3,16.523809523809522,20.333333333333332,4.999999999999998,2
1991,David Wheaton,Grass,11,9,17.727272727272727,18.555555555555557,0.22222222222222499,1
1991,David Wheaton,Hard,25,15,15.32,15.4,1.4666666666666668,1
1991,Pablo Campana,Hard,2,2,,,,0
1991,Ilou Lonfo,Carpet,1,1,,,,0
1991,Michael Geserer,Clay,1,0,,,,0
1991,Patricio Arnold,Hard,2,1,13.5,15.0,6.0,0
1991,Crepin Ossombi,Clay,2,0,,,,0
1991,Brian Devening,Carpet,1,0,,,,0
1991,Eui Jong Chang,Grass,2,2,,,,0
1991,Eui Jong Chang,Hard,2,1,12.5,17.0,0.0,0
1991,Jacco Eltingh,Carpet,2,0,,,,0
