year,tournament,surface,tourney_level,avg_sets_R16,avg_diff_games_R16,avg_tot_games_R16,avg_rank_R16,fave_ratio_R16,avg_sets_QF,avg_diff_games_QF,avg_tot_games_QF,avg_rank_QF,fave_ratio_QF,avg_sets_SF,avg_diff_games_SF,avg_tot_games_SF,avg_rank_SF,fave_ratio_SF,avg_sets_F,avg_diff_games_F,avg_tot_games_F,avg_rank_F,fave_ratio_F
2000,Wimbledon,Grass,G,3.875,6.75,38.0,62.75,0.5,3.25,5.75,35.25,65.5,0.75,4.0,5.0,42.0,12.0,0.5,4.0,6.0,44.0,3.0,1.0
2000,US Open,Hard,G,3.625,8.625,35.125,27.125,0.625,3.75,5.25,38.25,13.0,1.0,3.0,4.5,35.5,5.5,1.0,3.0,8.0,28.0,7.0,0.0
2000,Australian Open,Hard,G,3.75,6.0,37.0,18.375,0.75,3.25,8.0,31.0,4.25,0.75,4.0,7.5,38.5,1.5,1.0,4.0,6.0,36.0,1.0,1.0
2001,Paris Masters,Carpet,M,2.375,5.25,22.0,23.125,0.625,2.5,4.5,23.5,17.75,0.75,2.0,5.0,21.0,7.0,1.0,4.0,7.0,43.0,8.0,0.0
2001,Stuttgart Masters,Hard,M,2.75,2.625,29.125,19.75,0.625,2.5,4.25,24.25,19.0,0.5,2.5,2.5,24.5,33.5,0.0,3.0,12.0,24.0,14.0,1.0
2001,Miami Masters,Hard,M,2.25,4.25,21.25,37.375,0.625,2.25,5.0,21.0,9.25,1.0,2.5,6.5,24.5,11.0,0.5,3.0,12.0,26.0,3.0,1.0
2001,Indian Wells Masters,Hard,M,2.375,4.75,23.25,14.25,0.5,2.25,5.75,20.75,5.25,1.0,2.5,2.5,25.5,3.5,1.0,3.0,8.0,32.0,4.0,0.0
2001,Monte Carlo Masters,Clay,M,2.375,5.875,21.625,30.5,0.875,2.75,3.0,28.0,27.75,0.75,2.0,5.0,19.0,27.5,0.5,3.0,9.0,27.0,2.0,1.0
2001,Hamburg Masters,Clay,M,2.25,5.375,20.625,30.375,0.375,2.0,7.5,16.5,27.0,0.5,2.5,6.0,22.0,24.0,0.5,5.0,-1.0,49.0,42.0,0.0
2001,Rome Masters,Clay,M,2.125,5.625,19.625,38.5,0.5,2.25,7.0,19.0,26.5,0.75,2.0,6.0,18.0,5.0,1.0,5.0,4.0,42.0,9.0,0.0
2001,Canada Masters,Hard,M,2.75,4.0,25.75,24.0,0.625,2.75,5.0,26.5,25.25,0.25,2.0,4.0,8.0,26.0,0.5,3.0,0.0,30.0,43.0,0.0
2001,Cincinnati Masters,Hard,M,2.25,4.625,20.875,19.0,0.875,3.0,2.5,31.5,5.25,1.0,2.5,2.5,23.5,4.0,0.5,2.0,8.0,16.0,1.0,1.0
2001,Roland Garros,Clay,G,4.0,6.5,36.0,7.75,1.0,3.5,7.5,32.0,7.0,0.75,3.0,6.0,31.0,7.0,0.5,4.0,11.0,39.0,1.0,1.0
